dataset,n,structure,ns_per_lookup,index_bytes,bytes_per_key
uniform,100000,binary_search,103.551,0,0
uniform,100000,bplus_tree,141.449,3732368,37.3237
uniform,100000,learned_index,60.6208,24,0.00024
uniform,100000,segmented_index,68.8975,248,0.00248
uniform,100000,segmented_optimal,69.8728,176,0.00176
skewed,100000,binary_search,105.23,0,0
skewed,100000,bplus_tree,142.457,3732368,37.3237
skewed,100000,learned_index,117.298,24,0.00024
skewed,100000,segmented_index,89.5962,992,0.00992
skewed,100000,segmented_optimal,85.9161,848,0.00848
uniform,1000000,binary_search,209.057,0,0
uniform,1000000,bplus_tree,301.09,37347776,37.3478
uniform,1000000,learned_index,99.7061,24,2.4e-05
uniform,1000000,segmented_index,128.463,1928,0.001928
uniform,1000000,segmented_optimal,115.791,1400,0.0014
skewed,1000000,binary_search,175.012,0,0
skewed,1000000,bplus_tree,305.271,37347776,37.3478
skewed,1000000,learned_index,194.678,24,2.4e-05
skewed,1000000,segmented_index,117.915,3800,0.0038
skewed,1000000,segmented_optimal,121.757,3056,0.003056
uniform,5000000,binary_search,343.906,0,0
uniform,5000000,bplus_tree,574.896,186754792,37.351
uniform,5000000,learned_index,275.113,24,4.8e-06
uniform,5000000,segmented_index,180.777,10160,0.002032
uniform,5000000,segmented_optimal,179.934,7592,0.0015184
skewed,5000000,binary_search,349.922,0,0
skewed,5000000,bplus_tree,548.218,186754792,37.351
skewed,5000000,learned_index,417.24,24,4.8e-06
skewed,5000000,segmented_index,185.763,12584,0.0025168
skewed,5000000,segmented_optimal,211.94,9728,0.0019456
